MAGs,Taxonomy
Su22_1856_I_D90_Am_bin.41,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: UBA71
Su22_1856_I_D90_E_bin.152,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: Methanarcanum
Su22_1894_T_D90_D_bin.235,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: UBA71
Su22_1894_T_D90_A_bin.224,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: Methanarcanum Species: Methanarcanum sp017455785
Su22_1894_T_D90_A_bin.232,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: UBA71
Su22_1845_C_D90_A_bin.94,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: UBA71
Su22_1894_T_D90_A_bin.77,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: UBA71
Su22_1856_I_D90_A_bin.493,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: UBA71
Su22_1856_I_D90_Am_bin.578,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: UBA71
OWC_0818_M1_M_E017E020E021E022_Coassembly_bin.36,Order: Methanosarcinales Family: Methanosarcinaceae Genus: Methanomethylovorans Species: Methanomethylovorans sp002508425
OWC_0818_M1_M_E022_D31_DNA_S89_L002_bin.10,Order: Methanomassiliicoccales Family: UBA472 Genus: MVRC01
OWC_0818_M1_M_E017E020E021E022_Coassembly_bin.50,Order: Methanomassiliicoccales Family: UBA472 Genus: MVRC01
OWC_0818_M1_M_E017E020E021E022_Coassembly_bin.12,Order: Methanomassiliicoccales Family: UBA472
OWC_0818_M1_M_E022_D31_DNA_S89_L002_bin.7,Order: Methanomassiliicoccales Family: UBA472 Genus: MVRC01
OWC_0818_M1_M_E022_D31_DNA_S89_L002_bin.8,Order: Methanosarcinales Family: Methanosarcinaceae Genus: Methanomethylovorans Species: Methanomethylovorans sp002508425
OWC_0818_M1_M_E021_D31_DNA_S88_L002_bin.7,Order: Methanosarcinales Family: Methanosarcinaceae Genus: Methanomethylovorans Species: Methanomethylovorans sp002508425
OWC_0818_M1_M_E05.bin.15,Order: Methanosarcinales Family: Methanosarcinaceae Genus: Methanomethylovorans Species: Methanomethylovorans hollandica
OWC_0818_M1_M_CoA1_E05E08E09_bin.40,Order: Methanosarcinales Family: Methanosarcinaceae Genus: Methanosarcina
OWC_0818_M1_M_E09.bin.38,Order: Methanosarcinales Family: Methanosarcinaceae Genus: Methanomethylovorans Species: Methanomethylovorans sp002508425
OWC_0818_M1_M_E09.bin.39,Order: Methanomassiliicoccales Family: Methanomethylophilaceae Genus: Methanogranum
