,D00,,,,D06,,,,D15,,,,D22,,,,D29,,,,D36,,,,D43,,,,D50,,,
,N2 RT,N2 Area,CH4 RT,CH4 Area,N2 RT,N2 Area,CH4 RT,CH4 Area,N2 RT,N2 Area,CH4 RT,CH4 Area,N2 RT,N2 Area,CH4 RT,CH4 Area,N2 RT,N2 Area,CH4 RT,CH4 Area,N2 RT,N2 Area,CH4 RT,CH4 Area,N2 RT,N2 Area,CH4 RT,CH4 Area,N2 RT,N2 Area,CH4 RT,CH4 Area
OWC_E01,0.33,27164.26,0,0,0.34,25195.39,0.56,60.12,0.32,27323.98,0.55,168.73,0.33,25623.75,0.56,155.82,0.33,26585.2,0.56,122.51,0.328,26924.875,0.558,109.455,0.293,30727.554,0.522,119.364,0.306,26078.222,0.535,94.922
OWC_E02,0.33,26025.54,0,0,0.33,26372.8,0,0,0.32,27684.95,0.55,229.97,0.33,25446.72,0.56,150.15,0.33,25778.15,0.56,99.24,0.332,27432.557,0.559,99.161,0.326,28650.394,0.552,82.42,0.329,26624.992,0.556,88.476
OWC_E03,0.33,25403.78,0,0,0.32,32769.94,0,0,0.32,28363.97,0.55,198.08,0.33,25570.47,0.56,147.43,0.33,26696.71,0.56,128.6,0.327,27199.474,0.556,91.984,0.325,27646.243,0.552,96.95,0.332,25609.006,0.559,85.606
OWC_E04,0.32,26069.24,0,0,0.33,17996.65,0.55,56.24,0.33,20218.15,0.55,221.33,0.33,25724.57,0.56,212.77,0.33,27480.04,0.55,123.47,0.326,27349.225,0.556,112.011,0.327,28181.14,0.555,95.109,0.333,26080.475,0.562,96.228
OWC_E05,0.33,26134.33,0,0,0.33,28041.61,0.55,103.51,0.33,17738.78,0.55,300.82,0.33,24301.12,0.56,647.44,0.33,23306.05,0.55,986.51,0.33,25303.23,0.555,756.373,0.327,26530.971,0.556,317.165,0.331,26027.496,0.561,120.531
OWC_E06,0.33,25732.97,0,0,0.32,28977.55,0.54,93.29,0.33,26531.04,0.55,267.36,0.34,23087.72,0.56,662.96,0.34,22090.72,0.56,818.83,0.326,24834.603,0.5521,511.564,0.321,25884.062,0.547,670.558,0.332,25955.15,0.562,182.964
OWC_E07,0.33,25668.41,0,0,0.3,28444.82,0.52,101.98,0.32,25338.8,0.55,610.57,0.33,23942.65,0.55,764.91,0.34,21835.07,0.56,1044.46,0.327,23670.042,0.548,1160.991,0.326,26316.682,0.552,637.462,0.332,26306.49,0.562,156.096
OWC_E08,0.33,25686.84,0,0,0.32,27949.74,0.55,78.7,0.33,26938.97,0.55,293.9,0.33,24359.04,0.55,637.62,0.33,22630.19,0.55,890.63,0.331,24636.024,0.554,844.953,0.326,26014.34,0.55,906.16,0.331,24726.238,0.556,745.646
STM_E01,0.33,25240.27,0,0,0.32,29362.6,0,0,0.33,28381.25,0.55,102.11,0.33,25001.9,0.56,95.16,0.34,23806.05,0.56,95.58,0.328,28636.294,0.555,95.885,,,,N/A,,,,N/A
STM_E02,0.33,25141.99,0,0,0.33,20239.76,0,0,0.33,25896.63,0.55,80.25,0.34,24459.69,0.56,65.25,0.33,24475.11,0.56,82.35,0.328,28474.079,0.555,98.803,,,,N/A,,,,N/A
STM_E03,0.33,25513.11,0,0,0.33,29509.5,0,0,0.33,26568.97,0.55,78.37,0.34,25716.85,0.56,90.64,0.32,21684.68,0.54,71.97,0.329,28268.944,0,0,,,,N/A,,,,N/A
STM_E04,0.33,255851.28,0,0,0.32,29186.43,0,0,0.33,25316.16,0.55,80.99,0.33,24206.05,0.56,82.07,0.33,26669.68,0.56,103.84,0.328,27951.749,0.558,119.842,,,,N/A,,,,N/A
STM_E05,0.33,25976.87,0,0,0.33,28551.56,0,0,0.33,25970.52,0.56,97.16,0.34,23061.31,0.56,86.24,0.33,26421.41,0.55,76.5,0.331,27934.062,0,0,,,,N/A,,,,N/A
STM_E06,0.33,25363.12,0,0,0.33,28959.39,0,0,0.33,26235.19,0.56,118.66,0.31,25782.72,0.54,141.32,0.33,26511.77,0.55,89.11,0.33,27933.489,0,0,,,,N/A,,,,N/A
STM_E07,0.33,26136.23,0,0,0.32,29983.83,0,0,0.33,25980.2,0.56,128.14,0.33,27346.6,0.55,111.16,0.33,26423.07,0.55,105.91,0.327,27728.072,0.556,105.088,,,,N/A,,,,N/A
STM_E08,0.34,24957.95,0,0,0.32,29000.63,0,0,0.33,25732.25,0.56,116.93,0.33,27169.33,0.55,122.66,0.33,26299.06,0.56,93.08,0.334,27227.272,0,0,,,,N/A,,,,N/A
