module,Su22_1856_I_D90_Am_bin.41,Su22_1856_I_D90_E_bin.152,Su22_1894_T_D90_D_bin.235,OWC_0818_M1_M_E022_D31_DNA_S89_L002_bin.8,Su22_1894_T_D90_A_bin.224,OWC_0818_M1_M_E09.bin.39,OWC_0818_M1_M_E021_D31_DNA_S88_L002_bin.7,Su22_1894_T_D90_A_bin.232,Su22_1845_C_D90_A_bin.94,OWC_0818_M1_M_E017E020E021E022_Coassembly_bin.12,OWC_0818_M1_M_E022_D31_DNA_S89_L002_bin.7,Su22_1894_T_D90_A_bin.77,Su22_1856_I_D90_A_bin.493,OWC_0818_M1_M_E09.bin.38,Su22_1856_I_D90_Am_bin.578,OWC_0818_M1_M_E05.bin.15,OWC_0818_M1_M_E017E020E021E022_Coassembly_bin.36,OWC_0818_M1_M_E022_D31_DNA_S89_L002_bin.10,OWC_0818_M1_M_E017E020E021E022_Coassembly_bin.50,OWC_0818_M1_M_CoA1_E05E08E09_bin.40
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,2,2,0,0,1,5,2,0,0,2,2,0,2,3,0,0,0,7
Methyl-N,0,0,1,0,0,0,0,1,0,0,0,1,2,0,2,2,0,0,1,2
Methyl-N,7,0,6,2,0,0,2,2,6,0,0,2,8,0,8,0,2,2,2,1
Methyl-N,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2
Methyl-N,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,0
Methyl-N,2,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,1,0,0,1
Methyl-N,4,0,2,2,0,0,1,4,4,0,0,2,4,1,4,2,0,0,0,0
Methyl-N,3,1,3,2,1,1,1,4,6,0,0,2,5,1,5,4,1,1,1,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,2,0,2,1,1,1,0,4,5,0,0,2,6,0,6,2,0,1,1,2
Methyl-N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Methyl-N,1,0,1,2,0,0,1,3,3,0,0,1,2,1,2,2,0,0,0,0
Methyl-N,2,0,1,1,1,1,0,4,4,0,0,2,4,0,4,1,0,1,1,2
Methyl-N,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,1,1,0,1,1
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,1,1,2,0,0,2,2,2,0,0,2,2,1,3,1,2,1,3,3
Methyl-O,1,3,1,3,3,1,3,1,1,0,2,2,1,3,1,1,3,2,2,5
Methyl-O,0,1,0,3,0,0,3,2,2,0,0,2,2,2,3,3,3,1,4,1
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,1,1,2,0,0,2,2,2,0,0,2,2,0,2,1,2,1,3,2
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,3
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Methyl-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-O,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0
Methyl-O,1,0,1,2,1,1,2,2,2,1,1,1,0,1,0,2,2,1,1,3
Methyl-O,2,3,4,7,5,3,7,2,3,0,5,3,4,4,4,7,7,8,9,9
Methyl-O,2,3,4,7,5,3,7,2,3,0,5,3,4,4,4,7,7,8,9,9
Methyl-O,3,1,0,4,2,2,4,3,1,0,3,2,2,1,3,4,3,2,5,3
Methyl-O,3,2,0,4,2,2,4,2,1,0,3,2,2,1,3,4,3,2,4,2
Methyl-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-S,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Methyl-S,1,1,1,3,0,0,3,2,3,0,0,2,3,2,4,3,3,1,4,1
Methyl-S,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,4,2,1,1,4
Methyl-S,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,3,1
Methyl-S,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Methyl-S,1,0,3,4,0,2,4,2,2,0,2,3,2,2,2,2,4,2,3,4
Methyl-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl-S,1,0,0,2,0,1,2,1,0,0,1,1,2,0,2,1,1,2,2,1
